label_key,class_name,traversability_id,traversability_name,rationale
0,undefined,0,Free,"No semantic surface is assigned; exclude from traversability scoring."
1,traffic_cone,3,Non-Traversable,"A traffic cone marks a hazard and is a collision object."
2,snow,2,Potentially Traversable,"Snow may be driveable but conceals surface condition and depth."
3,cobble,1,Traversable,"Cobble is a firm constructed surface despite increased roughness."
4,obstacle,3,Non-Traversable,"The class explicitly denotes an obstacle to avoid."
5,leaves,2,Potentially Traversable,"Loose leaves may be passable but can conceal hazards and reduce grip."
6,street_light,3,Non-Traversable,"A street-light structure is a rigid collision object."
7,bikeway,1,Traversable,"A bikeway is a firm level transport surface physically suitable for driving."
8,ego_vehicle,0,Free,"Points from the sensing vehicle are not part of the surrounding terrain and are excluded."
9,pedestrian_crossing,1,Traversable,"A pedestrian crossing is road-surface paint on a normally driveable surface."
10,road_block,3,Non-Traversable,"A road block intentionally prevents passage."
11,road_marking,1,Traversable,"Road markings lie on a driveable road surface."
12,car,3,Non-Traversable,"A car is a collision object regardless of whether it is moving."
13,bicycle,3,Non-Traversable,"A bicycle is a collision object and may be occupied or moving."
14,person,3,Non-Traversable,"A person must always be treated as an obstacle to avoid."
15,bus,3,Non-Traversable,"A bus is a large collision object."
16,forest,3,Non-Traversable,"Forest-labelled volume represents dense vegetation rather than a clear surface."
17,bush,3,Non-Traversable,"A bush conceals the ground and may contain rigid branches."
18,moss,2,Potentially Traversable,"Moss may be passable but can be slippery and obscure the underlying surface."
19,traffic_light,3,Non-Traversable,"A traffic-light structure is a rigid collision object."
20,motorcycle,3,Non-Traversable,"A motorcycle is a collision object and may be occupied or moving."
21,sidewalk,1,Traversable,"The sidewalk surface is firm and level; legal access is outside this physical mapping."
22,curb,2,Potentially Traversable,"A curb may be mountable by an off-road vehicle but height and approach angle matter."
23,asphalt,1,Traversable,"Asphalt is the reference firm driveable surface."
24,gravel,1,Traversable,"Compacted gravel is a standard driveable off-road surface."
25,boom_barrier,3,Non-Traversable,"A boom barrier physically closes the route."
26,rail_track,2,Potentially Traversable,"Rails may be crossed but present geometry and traction hazards."
27,tree_crown,3,Non-Traversable,"Tree crown points belong to solid vegetation above or beside the route."
28,tree_trunk,3,Non-Traversable,"A tree trunk is a rigid vertical collision object."
29,debris,2,Potentially Traversable,"Debris may be shallow and passable or may contain damaging hidden objects."
30,crops,2,Potentially Traversable,"Crops may be physically passable but conceal terrain and should not be assumed safe."
31,soil,1,Traversable,"Exposed soil is a normal off-road driving surface when no contrary condition is known."
32,rider,3,Non-Traversable,"A rider is a vulnerable moving obstacle."
33,animal,3,Non-Traversable,"An animal is a vulnerable and potentially moving obstacle."
34,truck,3,Non-Traversable,"A truck is a large collision object."
35,on_rails,3,Non-Traversable,"A rail vehicle is a collision object and may be moving."
36,caravan,3,Non-Traversable,"A caravan is a large collision object."
37,trailer,3,Non-Traversable,"A trailer is a large collision object."
38,building,3,Non-Traversable,"A building is a rigid structure."
39,wall,3,Non-Traversable,"A wall is a rigid barrier."
40,rock,3,Non-Traversable,"A rock is treated conservatively as a rigid collision or underbody hazard."
41,fence,3,Non-Traversable,"A fence marks and physically occupies a boundary."
42,guard_rail,3,Non-Traversable,"A guard rail is a rigid barrier."
43,bridge,2,Potentially Traversable,"A bridge may provide a route but this semantic class can also include non-driveable structure."
44,tunnel,2,Potentially Traversable,"A tunnel may contain a route but geometry is needed to separate floor from walls and ceiling."
45,pole,3,Non-Traversable,"A pole is a rigid vertical collision object."
46,traffic_sign,3,Non-Traversable,"A traffic sign and its support are collision objects."
47,misc_sign,3,Non-Traversable,"A sign and its support are collision objects."
48,barrier_tape,3,Non-Traversable,"Barrier tape denotes an intentional no-entry boundary even if physically light."
49,kick_scooter,3,Non-Traversable,"A kick scooter is a collision object and may be occupied or moving."
50,low_grass,1,Traversable,"Short vegetation over visible ground is a standard off-road driving surface."
51,high_grass,2,Potentially Traversable,"High grass may be passable but conceals the ground and obstacles."
52,scenery_vegetation,2,Potentially Traversable,"Generic vegetation does not reveal density or the surface beneath it."
53,sky,0,Free,"Sky is open space with no surface and is excluded from traversability scoring."
54,water,3,Non-Traversable,"Unknown water depth and current make passage unsafe without additional sensing."
55,wire,3,Non-Traversable,"Wire can entangle a vehicle and may mark a powered or structural boundary."
56,outlier,0,Free,"Outlier points are invalid measurements and are excluded from traversability scoring."
57,heavy_machinery,3,Non-Traversable,"Heavy machinery is a large collision object and may be moving."
58,container,3,Non-Traversable,"A container is a rigid collision object."
59,hedge,3,Non-Traversable,"A hedge is dense vegetation that conceals possible rigid structure."
60,barrel,3,Non-Traversable,"A barrel is an obstacle and may contain hazardous material."
61,pipe,3,Non-Traversable,"A pipe is a rigid obstacle and potential underbody hazard."
62,tree_root,2,Potentially Traversable,"A tree root may be crossed but size and exposure determine clearance risk."
63,military_vehicle,3,Non-Traversable,"A military vehicle is a large collision object."
